posts,region,province,annotations,extracted_words,PH_code,lat,long,filtered_location
Naglisod ko'g ginhawa karon adlawa. ,IVA,Rizal,"COVID,TB,PN",shaking chills,PH-40,14.65,121.25,"14.65, 121.25"
Lami kaayo ang pagkaon sa Cebu. ,XIII,Agusan del Sur,"PN,AURI,COVID",hemoptysis,PH-13,8.36,125.71,"8.36, 125.71"
Having trouble breathing today. ,XIII,Surigao del Sur,"AURI,COVID,TB",mapula ang mata,PH-13,8.84,126.15,"8.84, 126.15"
Paborito ko ang bagong pelikula ni Alden. ,XII,Cotabato,PN,gibato nga kakapoy,PH-12,7.27,124.86,"7.27, 124.86"
Ang ganda ng tanawin sa Tagaytay. ,V,Camarines Sur,COVID,hindi makalasa,PH-05,13.6428216,123.3282338,"13.6428216, 123.3282338"
Hirap huminga dahil sa sipon. ,VIII,Samar,COVID,dry cough,PH-08,11.79822185,125.16904177391692,"11.79822185, 125.16904177391692"
Hirap huminga dahil sa sipon. ,V,Catanduanes,"PN,COVID,AURI",lagnat sa gabi,PH-05,13.833333,124.25,"13.833333, 124.25"
Going to the beach this weekend. ,II,Nueva Vizcaya,"COVID,TB,PN,AURI",weight loss,PH-02,16.35,121.13,"16.35, 121.13"
Sino may kilalang magaling na doktor para sa asthma? ,IVB,Occidental Mindoro,"COVID,PN,TB,AURI",larygitis,PH-41,13.0000021,120.9166666,"13.0000021, 120.9166666"
Paborito ko ang bagong pelikula ni Alden. ,II,Cagayan,"TB,PN,COVID",sakit ang tutunlan,PH-02,18.0,121.833333,"18.0, 121.833333"
Sino may kilalang magaling na doktor para sa asthma? ,CAR,Ifugao,"PN,AURI",gi sip-on,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Ang akong ubo wala pa gyud mawala. ,IX,Zamboanga del Sur,"PN,COVID",pamumula ng mata,PH-09,7.9043,123.3194,"7.9043, 123.3194"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,BARMM,Lanao del Sur,PN,katugnaw,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
Paano ba maalis ang ubo na ito? ,X,Lanao del Norte,"AURI,PN,TB",plemang may kasamang dugo,PH-10,7.9579723,123.9021124,"7.9579723, 123.9021124"
Paborito ko ang bagong pelikula ni Alden. ,I,Ilocos Sur,"AURI,PN,TB",bug at ang kalawasan,PH-01,17.2,120.5,"17.2, 120.5"
Adto mi sa dagat karong weekend. ,VIII,Eastern Samar,"PN,TB",danggas,PH-08,11.73,125.37,"11.73, 125.37"
Laging masakit ang lalamunan ko. ,V,Camarines Sur,"PN,TB,AURI",hindi nawawala ang ubo,PH-05,13.6428216,123.3282338,"13.6428216, 123.3282338"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Iloilo,"TB,COVID,PN",kapoyun,PH-06,10.9522168,122.5799456,"10.9522168, 122.5799456"
Laging masakit ang lalamunan ko. ,CAR,Abra,COVID,nahihirapan huminga,PH-14,17.8581498,120.6706604,"17.8581498, 120.6706604"
Adto mi sa dagat karong weekend. ,CAR,Apayao,COVID,pagtatae,PH-14,18.08557685,121.18792848783632,"18.08557685, 121.18792848783632"
Kinsay nakasuway ug asthma? ,IVB,Romblon,AURI,parang may nakabara sa tainga,PH-41,12.5,122.2,"12.5, 122.2"
Ang akong ubo wala pa gyud mawala. ,II,Isabela,AURI,odynophagia,PH-02,17.0,122.0,"17.0, 122.0"
Bag-o lang ko nagpalit ug bag. ,XII,Sarangani,"TB,COVID",lasa,PH-12,5.874722,125.275278,"5.874722, 125.275278"
Ang akong ubo wala pa gyud mawala. ,II,Cagayan,"PN,COVID,TB",init ang pamati,PH-02,18.0,121.833333,"18.0, 121.833333"
Ang ganda ng tanawin sa Tagaytay. ,XII,Cotabato,"AURI,TB,PN",dulaw ug berde nga plema ug muhog,PH-12,7.27,124.86,"7.27, 124.86"
Lami kaayo ang pagkaon sa Cebu. ,NCR,Metro Manila,"COVID,AURI,PN",pagkahingal,PH-00,14.5619689,121.01805780594316,"14.5619689, 121.01805780594316"
Laging masakit ang lalamunan ko. ,VIII,Northern Samar,PN,ubong walang plema,PH-08,12.42,124.81,"12.42, 124.81"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VIII,Leyte,"COVID,TB",duason,PH-08,10.7841157,124.89232097699272,"10.7841157, 124.89232097699272"
Sino may kilalang magaling na doktor para sa asthma? ,XIII,Surigao del Norte,"PN,COVID,AURI,TB",anorexia,PH-13,9.7022868,125.5464831,"9.7022868, 125.5464831"
Kinsay nakasuway ug asthma? ,IVA,Quezon,"COVID,PN",walay panlami,PH-40,13.9,122.0,"13.9, 122.0"
Naglisod ko'g ginhawa karon adlawa. ,CAR,Mountain Province,"AURI,COVID,PN,TB",cough,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Nindot kaayo ang salida sa sinehan. ,III,Aurora,"COVID,TB,PN",pagkahingal,PH-03,16.0474764,121.6700916,"16.0474764, 121.6700916"
Ang akong ubo wala pa gyud mawala. ,VI,Iloilo,"TB,PN",dyspnea,PH-06,10.9522168,122.5799456,"10.9522168, 122.5799456"
Naglisod ko'g ginhawa karon adlawa. ,III,Zambales,"PN,COVID",dili ganahan mo kaon,PH-03,15.23,120.12,"15.23, 120.12"
Hirap huminga dahil sa sipon. ,IVB,Marinduque,"TB,COVID",nagsuka na naay dugo,PH-41,13.416667,121.95,"13.416667, 121.95"
Paano ba maalis ang ubo na ito? ,VIII,Northern Samar,TB,pumapayat,PH-08,12.42,124.81,"12.42, 124.81"
Bag-o lang ko nagpalit ug bag. ,V,Albay,AURI,runny nose,PH-05,13.216667,123.55,"13.216667, 123.55"
Ang akong ubo wala pa gyud mawala. ,VII,Siquijor,"PN,COVID",headache,PH-07,9.2155864,123.5138212,"9.2155864, 123.5138212"
Nindot kaayo ang salida sa sinehan. ,III,Bataan,"TB,COVID",kapoyun,PH-03,14.6436031,120.4657622,"14.6436031, 120.4657622"
Kinsay nakasuway ug asthma? ,IVB,Oriental Mindoro,"PN,COVID",pagpapawis,PH-41,13.2,121.2,"13.2, 121.2"
Sarap mamasyal sa Baguio. ,II,Isabela,"AURI,TB",berde ag plema,PH-02,17.0,122.0,"17.0, 122.0"
Having trouble breathing today. ,CAR,Abra,"AURI,PN",gikapoy,PH-14,17.8581498,120.6706604,"17.8581498, 120.6706604"
Ubo ug sip-on na sad ning panahon. ,III,Nueva Ecija,"TB,PN",hindi nawawala ang ubo,PH-03,15.583333,121.0,"15.583333, 121.0"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,V,Camarines Norte,AURI,bug at ang dughan,PH-05,14.166667,122.75,"14.166667, 122.75"
Sarap mamasyal sa Baguio. ,XIII,Dinagat Islands,"COVID,TB",anorexia,PH-13,10.1577932,125.5851827,"10.1577932, 125.5851827"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,IVA,Laguna,"TB,PN,AURI",sore throat,PH-40,14.1696476,121.3336526,"14.1696476, 121.3336526"
Ang ganda ng tanawin sa Tagaytay. ,XIII,Agusan del Sur,"AURI,PN,TB",tiredness,PH-13,8.36,125.71,"8.36, 125.71"
Nindot kaayo ang salida sa sinehan. ,BARMM,Maguindanao del Sur,COVID,colds,PH-15,6.9234196,124.5365357,"6.9234196, 124.5365357"
Inom ng maraming tubig para iwas sakit. ,VII,Cebu,COVID,panghihina,PH-07,10.2931062,123.9020773,"10.2931062, 123.9020773"
Inom ng maraming tubig para iwas sakit. ,XIII,Surigao del Sur,"PN,TB,COVID",murag mo suka,PH-13,8.84,126.15,"8.84, 126.15"
Sino may kilalang magaling na doktor para sa asthma? ,III,Tarlac,TB,ubo,PH-03,15.4937252,120.4964091,"15.4937252, 120.4964091"
Nag-enjoy kami sa bagong restaurant sa Makati. ,V,Catanduanes,COVID,nawa ang pang simhot,PH-05,13.833333,124.25,"13.833333, 124.25"
Ang akong ubo wala pa gyud mawala. ,VII,Siquijor,"PN,COVID,TB,AURI",mabaw ug pag ginhawa,PH-07,9.2155864,123.5138212,"9.2155864, 123.5138212"
Laging masakit ang lalamunan ko. ,XIII,Surigao del Sur,"TB,AURI,COVID,PN",colds,PH-13,8.84,126.15,"8.84, 126.15"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,III,Bulacan,"TB,PN,COVID",chills,PH-03,15.0,121.083333,"15.0, 121.083333"
Does anyone know a good doctor for asthma? ,BARMM,Sulu,"TB,COVID,AURI",fatigue,PH-15,5.9942808,121.0787926,"5.9942808, 121.0787926"
Ang akong ubo wala pa gyud mawala. ,BARMM,Sulu,"COVID,TB",pagkawala ng pang-amoy,PH-15,5.9942808,121.0787926,"5.9942808, 121.0787926"
Sino may kilalang magaling na doktor para sa asthma? ,III,Pampanga,"TB,PN,AURI",giduas,PH-03,15.0519635,120.6445398,"15.0519635, 120.6445398"
Lami kaayo ang pagkaon sa Cebu. ,V,Camarines Norte,"PN,COVID,AURI,TB",maluya,PH-05,14.166667,122.75,"14.166667, 122.75"
Paano ba maalis ang ubo na ito? ,BARMM,Basilan,"TB,PN,AURI,COVID",presyur sa nawong,PH-15,6.55,122.0666667,"6.55, 122.0666667"
Inom ng maraming tubig para iwas sakit. ,IX,Zamboanga del Sur,"TB,PN,AURI,COVID",laryngitis,PH-09,7.9043,123.3194,"7.9043, 123.3194"
Sino may kilalang magaling na doktor para sa asthma? ,IVA,Laguna,"TB,PN",nagsuka na naay dugo,PH-40,14.1696476,121.3336526,"14.1696476, 121.3336526"
Ang ganda ng tanawin sa Tagaytay. ,VII,Cebu,"COVID,PN,AURI",painful swallowing,PH-07,10.2931062,123.9020773,"10.2931062, 123.9020773"
Naglisod ko'g ginhawa karon adlawa. ,X,Lanao del Norte,AURI,pagod na pagod,PH-10,7.9579723,123.9021124,"7.9579723, 123.9021124"
Paano ba maalis ang ubo na ito? ,CAR,Benguet,"COVID,AURI,PN,TB",masikip sa dibdib kapang huminga,PH-14,16.52,120.69,"16.52, 120.69"
Sino may kilalang magaling na doktor para sa asthma? ,V,Camarines Sur,PN,kulian sa pag ginhawa,PH-05,13.6428216,123.3282338,"13.6428216, 123.3282338"
Laging masakit ang lalamunan ko. ,IVB,Palawan,"COVID,TB,PN,AURI",pag-ubo na may kasamang dugo,PH-41,11.0798978,120.93734215474105,"11.0798978, 120.93734215474105"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,V,Camarines Norte,TB,hindi nawawala ang ubo,PH-05,14.166667,122.75,"14.166667, 122.75"
Lami kaayo ang pagkaon sa Cebu. ,XI,Davao del Norte,"COVID,PN,TB,AURI",parang nilalamig,PH-11,7.6179228,125.6832687,"7.6179228, 125.6832687"
Paano ba maalis ang ubo na ito? ,VI,Antique,"TB,COVID",mabigat ang dibdib,PH-06,11.1705066,122.083333,"11.1705066, 122.083333"
Laging masakit ang lalamunan ko. ,IVB,Palawan,"PN,COVID,TB",rashes,PH-41,11.0798978,120.93734215474105,"11.0798978, 120.93734215474105"
Ubo ug sip-on na sad ning panahon. ,II,Isabela,"TB,COVID,PN",pagod na pagod,PH-02,17.0,122.0,"17.0, 122.0"
Bag-o lang ko nagpalit ug bag. ,VIII,Biliran,"AURI,COVID,PN,TB",pagod na pagod,PH-08,11.6,124.49,"11.6, 124.49"
Inom ng maraming tubig para iwas sakit. ,BARMM,Lanao del Sur,TB,pagkaluya,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
Nindot kaayo ang salida sa sinehan. ,VII,Bohol,COVID,nagkalisud ug hinga,PH-07,9.833333,124.1615579,"9.833333, 124.1615579"
Hirap huminga dahil sa sipon. ,III,Bataan,"TB,PN,COVID,AURI",hoarseness,PH-03,14.6436031,120.4657622,"14.6436031, 120.4657622"
Kinsay nakasuway ug asthma? ,V,Sorsogon,"COVID,TB,PN",cough with blood,PH-05,12.833333,123.916667,"12.833333, 123.916667"
Ang ganda ng tanawin sa Tagaytay. ,VIII,Eastern Samar,"AURI,COVID,TB,PN",nagluluha,PH-08,11.73,125.37,"11.73, 125.37"
Ang akong ubo wala pa gyud mawala. ,V,Catanduanes,"AURI,TB,COVID,PN",nag puot na ilong,PH-05,13.833333,124.25,"13.833333, 124.25"
Who wants to join the dance contest? ,V,Albay,"AURI,TB,PN",phlegm with blood,PH-05,13.216667,123.55,"13.216667, 123.55"
Sino may kilalang magaling na doktor para sa asthma? ,BARMM,Tawi-tawi,"TB,COVID,PN,AURI",mapula ang mata,PH-15,5.2057,120.0265,"5.2057, 120.0265"
