posts,region,province
Masakit ang ulo ko at wala akong gana kumain. Parang may sakit ako.,IVB,Marinduque
"Grabe ang pagod ko ngayon, parang may COVID ako. Sana hindi totoo.",VII,Bohol
I'm burning up and feeling really weak. Need to get checked.,III,Pampanga
Feeling feverish but no medicine seems to help.,XI,Davao Occidental
"Bag-o lang ko nakapalit og motor, lipay kaayo ko.",V,Camarines Sur
Pirmi ko mag jogging kada buntag para sa healthy living.,II,Nueva Vizcaya
Lingaw kaayo ko sa salida nga akong giwatch kagabii.,XI,Davao de Oro
Ang saya ko sa binabasa kong libro. Parang ayoko nang tumigil.,XIII,Surigao del Norte
"May bago akong halaman sa bahay, nakakatuwa talaga.",XI,Davao de Oro
"Nagplano akong magbakasyon next month, saan kaya maganda?",VIII,Southern Leyte
Ang saya saya ko sa pinanood kong movie kagabi.,VIII,Leyte
The weather is great today. Perfect for a walk!,III,Tarlac
Ang hirap ng may mababa ang dugo.,CAR,Benguet
Kumain kami ng sobrang sarap na pagkain.,II,Cagayan
Namalit ko ug bag-ong sinina alang sa pista.,IVB,Occidental Mindoro
"Pirme ko naay kapin sa tulo ka semana nga ubo, unsa kahay maayo ani?",XI,Davao de Oro
Why do I always have shortness of breath?,BARMM,Sulu
Nagkita mi sa akong mga higala kagahapon.,IVA,Laguna
Bakit lagi na lang ako may walang ganang kumain?,IX,Zamboanga del Sur
Sino may alam na gamot para sa sinat?,X,Lanao del Norte
Lingaw kaayo mi sa salida ganina.,IVA,Cavite
Nindot kaayo ang tan-awon sa sunset karon.,IVB,Occidental Mindoro
Grabe akong hamubo ug dugo ron.,V,Sorsogon
Sino may alam na gamot para sa lagnat?,III,Nueva Ecija
"tb napud ko, makalagot!",X,Bukidnon
Ang hirap ng may walang ganang kumain.,BARMM,Basilan
Naa moy nahibaw-an nga maayo para sa naay dugo sa kughal or plima?,VI,Capiz
Nagkita kami ng mga kaibigan ko kahapon.,III,Bulacan
"Pirme ko naay tb, unsa kahay maayo ani?",CAR,Abra
Lisod kaayo ang danggas.,XII,Sarangani
Naa moy nahibaw-an nga maayo para sa nagluya?,VIII,Leyte
Enjoy na enjoy kami sa movie kanina.,III,Tarlac
Ang ganda ng sunset ngayon.,VI,Iloilo
"halos dili ka ginhawa napud ko, makalagot!",I,La Union
Kinsay naay tambal para pagkaluya?,IX,Zamboanga del Norte
"Pirme ko naay gi hilantan sa kulop, unsa kahay maayo ani?",VII,Negros Oriental
Bakit lagi na lang ako may hindi nawawala ang ubo?,VIII,Leyte
May alam ba kayong mabisang gamot sa matagal ng may ubo?,VI,Aklan
Nag-antos gyud ko sa nagsuka na naay dugo.,IVB,Occidental Mindoro
Bakit lagi na lang ako may pagpapawis sa gabi?,VII,Cebu
May pagpapawis sa gabi na naman ako.,VI,Antique
"Pirme ko naay nagsuka na naay dugo, unsa kahay maayo ani?",IVB,Oriental Mindoro
Kinsay naay tambal para sakit ang dughan?,IVA,Cavite
We ate really delicious food.,III,Nueva Ecija
Kinsay naay tambal para kapin sa tulo ka semana nga ubo?,BARMM,Sulu
"pamumutla na naman, nakakainis!",IVA,Rizal
Kinsay naay tambal para giduas?,VI,Antique
"namamayat na naman, nakakainis!",X,Camiguin
Nag-antos gyud ko sa plima may dugo.,III,Pampanga
Grabe akong pagkaluya ron.,XI,Davao Occidental
Sino may alam na gamot para sa nagpapawis sa gabi?,XII,Sultan Kudarat
Bakit lagi na lang ako may namamayat?,VIII,Samar
Got any tips for dealing with afternoon fever?,VII,Negros Oriental
Anyone know a good remedy for fatigue?,IX,Zamboanga del Norte
Got any tips for dealing with anemia?,IVB,Marinduque
Di ko na kaya tong may dugo sa plema.,XII,South Cotabato
Nag-antos gyud ko sa pagkaniwang.,XII,Sarangani
Nagkalingaw mi sa beach gahapon.,CAR,Apayao
"Pirme ko naay hamubo ug dugo, unsa kahay maayo ani?",VIII,Samar
Ang hirap ng may nahihirapan huminga.,X,Misamis Oriental
Lisod kaayo ang pagkaluya.,VIII,Leyte
Sino may alam na gamot para sa pagpapawis sa gabi?,V,Camarines Norte
Anyone know a good remedy for chest pain when coughing?,CAR,Ifugao
Grabe akong nag lisud ug hinga ron.,V,Masbate
This low grade fever is so annoying!,CAR,Kalinga
Lisod kaayo ang nay gamay na hilanat.,V,Camarines Sur
Lisod kaayo ang gikapoy.,I,Ilocos Norte
Naa moy nahibaw-an nga maayo para sa gamay ug pula sa dugo?,I,Ilocos Norte
"pagkaluya napud ko, makalagot!",XII,Sarangani
Nag-antos gyud ko sa naghubak na naay kauban na dugo.,XI,Davao Oriental
Bumili ako ng bagong damit para sa pista.,X,Misamis Occidental
Bakit lagi na lang ako may pag-ubo na may kasamang dugo?,III,Nueva Ecija
Kinsay naay tambal para kapoyun?,CAR,Benguet
"Pirme ko naay halos dili ka ginhawa, unsa kahay maayo ani?",BARMM,Basilan
Got any tips for dealing with dyspnea?,XI,Davao Occidental
Nag-enjoy kami sa beach kahapon.,IVB,Romblon
Grabe akong nag sakit ang dughan ug mo hubak ron.,IVA,Batangas
Got any tips for dealing with hemoptysis?,X,Misamis Oriental
Can't get rid of this afternoon fever.,XII,South Cotabato
I met my friends yesterday.,XII,Sarangani
Kinsay naay tambal para halos dili ka ginhawa?,II,Isabela
"ning mubo ang timbang napud ko, makalagot!",II,Nueva Vizcaya
Sino may alam na gamot para sa walang ganang kumain?,XIII,Dinagat Islands
Naa moy nahibaw-an nga maayo para sa sakit ang dughan?,BARMM,Maguindanao del Norte
Ang hirap ng may pagkahapo.,II,Isabela
Naa moy nahibaw-an nga maayo para sa hilanat?,III,Zambales
Sino may alam na gamot para sa panghihina?,XIII,Agusan del Sur
Kinsay naay tambal para naay dugo sa kughal or plima?,XII,Sultan Kudarat
Naglakaw-lakaw mi sa plaza karon buntag.,VIII,Northern Samar
Ang hirap ng may may dugo sa plema.,X,Lanao del Norte
Ang hirap ng may masakit sa dibdib kapag umuubo.,IVA,Quezon
Kinsay naay tambal para nag sakit ang dughan ug mo hubak?,II,Quirino
Kinsay naay tambal para gamay ug pula sa dugo?,I,Ilocos Norte
Lisod kaayo ang plima may dugo.,XII,Sarangani
May masakit sa dibdib kapag umuubo na naman ako.,III,Nueva Ecija
"mahigit tatlong linggong ubo na naman, nakakainis!",CAR,Benguet
Lisod kaayo ang ning mubo ang timbang.,IVB,Marinduque
Ang hirap ng may masakit ang dibdib.,II,Isabela
"Pirme ko naay naay dugo sa kughal or plima, unsa kahay maayo ani?",II,Quirino
I'm struggling with this afternoon fever.,III,Tarlac
"walang ganang kumain na naman, nakakainis!",XI,Davao del Norte
"naghubak na naay kauban na dugo napud ko, makalagot!",NCR,Metro Manila
Lisod kaayo ang duason.,XIII,Surigao del Norte
"Pirme ko naay nag sakit ang dughan ug mo hubak, unsa kahay maayo ani?",I,La Union
Kinsay naay tambal para nagluya?,XIII,Dinagat Islands
Suffering from tuberculosis.,II,Quirino
Nakaon mi og lami kaayo nga pagkaon.,XIII,Agusan del Sur
Nag-antos gyud ko sa nag sakit ang dughan ug mo hubak.,IVB,Romblon
Nag-antos gyud ko sa danggas.,II,Nueva Vizcaya
Di ko na kaya tong sinat.,III,Aurora
Ang hirap ng may mahigit tatlong linggong ubo.,IVB,Oriental Mindoro
The sunset looks beautiful today.,BARMM,Lanao del Sur
Ang hirap ng may pagpapawis sa gabi.,XIII,Dinagat Islands
Lisod kaayo ang nagkahuyang.,XI,Davao del Norte
May alam ba kayong mabisang gamot sa pamamayat?,IVA,Laguna
Ang hirap ng may hinahabol ang paghinga.,IX,Zamboanga Sibugay
Kinsay naay tambal para plima may dugo?,VII,Bohol
May alam ba kayong mabisang gamot sa pagod na pagod?,X,Camiguin
Di ko na kaya tong pagpapawis sa gabi.,CAR,Mountain Province
Ang hirap ng may lagnat.,IVA,Quezon
"Pirme ko naay pagkaluya, unsa kahay maayo ani?",VIII,Eastern Samar
Naglakad-lakad kami sa park kaninang umaga.,CAR,Abra
Nag-antos gyud ko sa gikapoy.,VI,Aklan
Had a blast at the beach yesterday.,BARMM,Basilan
"Pirme ko naay plima may dugo, unsa kahay maayo ani?",II,Nueva Vizcaya
May hindi magana sa pagkain na naman ako.,XI,Davao Oriental
Nag-antos gyud ko sa nay gamay na hilanat.,VII,Bohol
Can't get rid of this night sweat.,VIII,Leyte
Ang hirap ng may nagpapawis sa gabi.,III,Aurora
Grabe akong danggas ron.,VI,Antique
Why do I always have coughing up with blood?,II,Cagayan
May umuubo ng may dugo na naman ako.,IVA,Quezon
Lisod kaayo ang gi hilantan sa kulop.,VIII,Eastern Samar
Can't get rid of this weakness.,III,Nueva Ecija
"sinat na naman, nakakainis!",X,Bukidnon
Naa moy nahibaw-an nga maayo para sa nagkahuyang?,IX,Zamboanga del Norte
May alam ba kayong mabisang gamot sa nagpapawis sa gabi?,II,Batanes
Nag-antos gyud ko sa nagluya.,I,La Union
Ang hirap ng may pag-ubo na may kasamang dugo.,XIII,Agusan del Sur
Grabe akong plima may dugo ron.,IX,Zamboanga del Sur
I'm struggling with this fatigue.,IVB,Occidental Mindoro
Di ko na kaya tong walang ganang kumain.,III,Nueva Ecija
Sino may alam na gamot para sa pumapayat?,IX,Zamboanga del Sur
"gikapoy napud ko, makalagot!",IVA,Quezon
Kinsay naay tambal para nagsuka na naay dugo?,VI,Aklan
May pag-ubo na may kasamang dugo na naman ako.,IVB,Occidental Mindoro
Di ko na kaya tong matagal ng may ubo.,BARMM,Basilan
Why do I always have weakness?,VIII,Samar
"Pirme ko naay kapoyun, unsa kahay maayo ani?",VIII,Leyte
"duason napud ko, makalagot!",BARMM,Basilan
"nahihirapan huminga na naman, nakakainis!",VII,Cebu
Sino may alam na gamot para sa umuubo ng may dugo?,XII,Cotabato
Grabe akong hubak ron.,III,Pampanga
"Pirme ko naay gikapoy, unsa kahay maayo ani?",VIII,Northern Samar
Naa moy nahibaw-an nga maayo para sa duason?,VIII,Southern Leyte
Naa moy nahibaw-an nga maayo para sa nagsuka na naay dugo?,VIII,Biliran
Nag-antos gyud ko sa kapin sa tulo ka semana nga ubo.,XI,Davao del Norte
Di ko na kaya tong panghihina.,BARMM,Sulu
Di ko na kaya tong pagod na pagod.,IVA,Laguna
Grabe akong giduas ron.,XI,Davao del Norte
Nag-antos gyud ko sa naay dugo sa kughal or plima.,X,Misamis Oriental
I'm struggling with this cachexia.,V,Camarines Norte
Can't get rid of this low iron in the blood.,I,Pangasinan
"Pirme ko naay danggas, unsa kahay maayo ani?",V,Camarines Sur
Nag-antos gyud ko sa nagkahuyang.,CAR,Mountain Province
Naa moy nahibaw-an nga maayo para sa hamubo ug dugo?,III,Zambales
"hindi nawawala ang ubo na naman, nakakainis!",CAR,Kalinga
May walang ganang kumain na naman ako.,VIII,Northern Samar
Why do I always have difficulty of breathing?,VII,Cebu
May alam ba kayong mabisang gamot sa lagnat?,V,Masbate
Grabe akong nay gamay na hilanat ron.,XIII,Surigao del Sur
"Pirme ko naay nagkahuyang, unsa kahay maayo ani?",X,Camiguin
Naa moy nahibaw-an nga maayo para sa kapin sa tulo ka semana nga ubo?,XII,Sultan Kudarat
Kinsay naay tambal para nay gamay na hilanat?,VIII,Northern Samar
Can't get rid of this anemia.,III,Bulacan
This tiredness is so annoying!,VIII,Eastern Samar
Naa moy nahibaw-an nga maayo para sa halos dili ka ginhawa?,VI,Negros Occidental
Sino may alam na gamot para sa masakit sa dibdib kapag umuubo?,I,Ilocos Norte
Sino may alam na gamot para sa masakit ang dibdib?,CAR,Benguet
Sino may alam na gamot para sa hindi nawawala ang ubo?,XIII,Agusan del Norte
May alam ba kayong mabisang gamot sa pagkahapo?,IX,Zamboanga Sibugay
Sino may alam na gamot para sa matagal ng may ubo?,XIII,Surigao del Sur
Di ko na kaya tong nagpapawis sa gabi.,VIII,Leyte
Grabe akong naghubak na naay kauban na dugo ron.,II,Quirino
Suffering from difficulty of breathing.,V,Camarines Norte
"lagnat na naman, nakakainis!",IX,Zamboanga del Sur
Nag-antos gyud ko sa nag lisud ug hinga.,IX,Zamboanga Sibugay
"pamamayat na naman, nakakainis!",CAR,Mountain Province
Anyone know a good remedy for cough for more than three weeks?,BARMM,Maguindanao del Sur
May alam ba kayong mabisang gamot sa ubo?,II,Nueva Vizcaya
"hilanat napud ko, makalagot!",V,Catanduanes
May pamamayat na naman ako.,VI,Capiz
May mahigit tatlong linggong ubo na naman ako.,VII,Siquijor
Kinsay naay tambal para danggas?,VII,Siquijor
Nag-antos gyud ko sa duason.,VIII,Samar
May alam ba kayong mabisang gamot sa panghihina?,I,Ilocos Norte
We had so much fun at the movie earlier.,VIII,Leyte
Naa moy nahibaw-an nga maayo para sa gikapoy?,III,Aurora
Naa moy nahibaw-an nga maayo para sa danggas?,IVA,Rizal
"nanghihina na naman, nakakainis!",I,Ilocos Sur
Grabe akong pagkaniwang ron.,X,Camiguin
May alam ba kayong mabisang gamot sa masakit ang dibdib?,V,Catanduanes
Got any tips for dealing with cough with blood?,XIII,Dinagat Islands
"giduas napud ko, makalagot!",V,Albay
May namamayat na naman ako.,IVA,Rizal
Ang hirap ng may pumapayat.,XII,Sarangani
Ang hirap ng may panghihina.,CAR,Mountain Province
Lisod kaayo ang sakit ang dughan.,III,Bataan
Grabe akong nagkahuyang ron.,III,Nueva Ecija
Sino may alam na gamot para sa ubo?,IVA,Rizal
Went for a walk in the park this morning.,IVA,Batangas
Grabe akong ning mubo ang timbang ron.,CAR,Benguet
"kapin sa tulo ka semana nga ubo napud ko, makalagot!",NCR,Metro Manila
Ang hirap ng may lagnat sa hapon o sa gabi.,VI,Iloilo
Bakit lagi na lang ako may panghihina?,IVB,Occidental Mindoro
Bakit lagi na lang ako may nagpapawis sa gabi?,IVA,Quezon
This cough with blood is so annoying!,III,Bulacan
Grabe akong gamay ug pula sa dugo ron.,X,Misamis Occidental
May alam ba kayong mabisang gamot sa pumapayat?,IVA,Cavite
Lisod kaayo ang hilanat.,VIII,Southern Leyte
Grabe akong halos dili ka ginhawa ron.,XI,Davao Oriental
Kinsay naay tambal para hubak?,VII,Bohol
Bakit lagi na lang ako may lagnat sa hapon o sa gabi?,VI,Antique
Di ko na kaya tong pagbaba ng timbang.,V,Camarines Sur
May alam ba kayong mabisang gamot sa pamumutla?,IX,Zamboanga Sibugay
"gamay ug pula sa dugo napud ko, makalagot!",XIII,Surigao del Norte
"pumapayat na naman, nakakainis!",VI,Antique
Di ko na kaya tong nanghihina.,III,Tarlac
Bakit lagi na lang ako may lagnat?,III,Zambales
Sino may alam na gamot para sa mahigit tatlong linggong ubo?,IVA,Batangas
This cachexia is so annoying!,VIII,Leyte
Bakit lagi na lang ako may nanghihina?,XII,Sultan Kudarat
May alam ba kayong mabisang gamot sa umuubo ng may dugo?,XI,Davao de Oro
Anyone know a good remedy for weight loss?,NCR,Metro Manila
Sino may alam na gamot para sa may dugo sa plema?,CAR,Mountain Province
Naa moy nahibaw-an nga maayo para sa nay gamay na hilanat?,BARMM,Tawi-tawi
Kinsay naay tambal para pagkaniwang?,XII,Cotabato
Kinsay naay tambal para hilanat?,BARMM,Basilan
Lisod kaayo ang giduas.,I,Pangasinan
"Pirme ko naay ning mubo ang timbang, unsa kahay maayo ani?",IVA,Quezon
Grabe akong gikapoy ron.,IVB,Palawan
May hindi nawawala ang ubo na naman ako.,BARMM,Maguindanao del Norte
"masakit sa dibdib kapag umuubo na naman, nakakainis!",I,La Union
Naa moy nahibaw-an nga maayo para sa giduas?,I,Pangasinan
Di ko na kaya tong mahigit tatlong linggong ubo.,VIII,Eastern Samar
May alam ba kayong mabisang gamot sa pag-ubo na may kasamang dugo?,III,Bulacan
Bakit lagi na lang ako may masakit ang dibdib?,VI,Guimaras
Anyone know a good remedy for fever?,VII,Cebu
"Pirme ko naay giduas, unsa kahay maayo ani?",VI,Negros Occidental
Naa moy nahibaw-an nga maayo para sa gi hilantan sa kulop?,VII,Cebu
Suffering from tb.,III,Bataan
"Pirme ko naay nag lisud ug hinga, unsa kahay maayo ani?",VI,Aklan
"nag lisud ug hinga napud ko, makalagot!",BARMM,Lanao del Sur
Got any tips for dealing with loss of appetite?,IVA,Laguna
Lisod kaayo ang gamay ug pula sa dugo.,V,Albay
May lagnat na naman ako.,II,Quirino
Nag-antos gyud ko sa gamay ug pula sa dugo.,IVB,Occidental Mindoro
Naa moy nahibaw-an nga maayo para sa naghubak na naay kauban na dugo?,CAR,Mountain Province
Kinsay naay tambal para nag lisud ug hinga?,VI,Negros Occidental
"hindi magana sa pagkain na naman, nakakainis!",X,Bukidnon
Lisod kaayo ang nagsuka na naay dugo.,XI,Davao de Oro
Bakit lagi na lang ako may pagod na pagod?,XIII,Surigao del Norte
Got any tips for dealing with tuberculosis?,III,Bulacan
Bakit lagi na lang ako may pamamayat?,XI,Davao del Norte
Grabe akong nagsuka na naay dugo ron.,CAR,Apayao
Sino may alam na gamot para sa pagod na pagod?,XIII,Agusan del Sur
"nag sakit ang dughan ug mo hubak napud ko, makalagot!",XII,Cotabato
"sakit ang dughan napud ko, makalagot!",V,Camarines Norte
"panghihina na naman, nakakainis!",XIII,Surigao del Norte
May nanghihina na naman ako.,IVA,Rizal
Ang hirap ng may pagbaba ng timbang.,II,Cagayan
Suffering from hemoptysis.,VII,Bohol
Sino may alam na gamot para sa pamumutla?,I,La Union
May alam ba kayong mabisang gamot sa hindi nawawala ang ubo?,BARMM,Lanao del Sur
May alam ba kayong mabisang gamot sa pagpapawis sa gabi?,CAR,Apayao
Got any tips for dealing with fever?,VI,Guimaras
Naa moy nahibaw-an nga maayo para sa walay gana mo kaon?,IVB,Romblon
Grabe akong duason ron.,CAR,Benguet
Ang hirap ng may sinat.,II,Isabela
"matagal ng may ubo na naman, nakakainis!",IX,Zamboanga del Sur
Lisod kaayo ang pagkaniwang.,XIII,Surigao del Sur
Naa moy nahibaw-an nga maayo para sa nag lisud ug hinga?,X,Lanao del Norte
"Pirme ko naay naghubak na naay kauban na dugo, unsa kahay maayo ani?",III,Pampanga
Why do I always have dyspnea?,XII,Cotabato
"gi hilantan sa kulop napud ko, makalagot!",VI,Capiz
Lisod kaayo ang nag lisud ug hinga.,X,Misamis Occidental
Lisod kaayo ang kapoyun.,V,Sorsogon
"nagkahuyang napud ko, makalagot!",IVB,Palawan
Nag-antos gyud ko sa hamubo ug dugo.,V,Masbate
Grabe akong sakit ang dughan ron.,IX,Zamboanga del Norte
"walay gana mo kaon napud ko, makalagot!",XIII,Surigao del Norte
Grabe akong walay gana mo kaon ron.,VIII,Southern Leyte
Nag-antos gyud ko sa tb.,I,Ilocos Norte
"nagluya napud ko, makalagot!",III,Nueva Ecija
Nag-antos gyud ko sa sakit ang dughan.,X,Camiguin
Naa moy nahibaw-an nga maayo para sa kapoyun?,III,Nueva Ecija
"plima may dugo napud ko, makalagot!",III,Pampanga
Kinsay naay tambal para tb?,IVB,Palawan
Naa moy nahibaw-an nga maayo para sa tb?,IX,Zamboanga Sibugay
Nag-antos gyud ko sa pagkaluya.,V,Catanduanes
Kinsay naay tambal para naghubak na naay kauban na dugo?,IVA,Quezon
"Pirme ko naay pagkaniwang, unsa kahay maayo ani?",III,Bataan
"Pirme ko naay nay gamay na hilanat, unsa kahay maayo ani?",II,Nueva Vizcaya
"nay gamay na hilanat napud ko, makalagot!",XIII,Agusan del Sur
Nag-antos gyud ko sa hubak.,VI,Negros Occidental
Lisod kaayo ang nag sakit ang dughan ug mo hubak.,XI,Davao de Oro
Nag-antos gyud ko sa hilanat.,XI,Davao del Norte
Kinsay naay tambal para gi hilantan sa kulop?,X,Bukidnon
Lisod kaayo ang tb.,XIII,Surigao del Sur
"Pirme ko naay duason, unsa kahay maayo ani?",BARMM,Tawi-tawi
Di ko na kaya tong hindi magana sa pagkain.,I,Ilocos Norte
"may dugo sa plema na naman, nakakainis!",BARMM,Maguindanao del Sur
"pagpapawis sa gabi na naman, nakakainis!",V,Camarines Norte
Di ko na kaya tong hinahabol ang paghinga.,V,Camarines Norte
"masakit ang dibdib na naman, nakakainis!",III,Pampanga
"pagkahapo na naman, nakakainis!",II,Cagayan
Sino may alam na gamot para sa pag-ubo na may kasamang dugo?,XI,Davao Oriental
Sino may alam na gamot para sa lagnat sa hapon o sa gabi?,XII,Cotabato
Di ko na kaya tong pamumutla.,I,Pangasinan
Sino may alam na gamot para sa pagkahapo?,VIII,Northern Samar
Ang hirap ng may pamamayat.,XIII,Agusan del Sur
Sino may alam na gamot para sa hinahabol ang paghinga?,VI,Capiz
"hinahabol ang paghinga na naman, nakakainis!",X,Bukidnon
Sino may alam na gamot para sa hindi magana sa pagkain?,XIII,Surigao del Norte
Bakit lagi na lang ako may nahihirapan huminga?,VIII,Biliran
"ubo na naman, nakakainis!",IVA,Cavite
Bakit lagi na lang ako may pumapayat?,I,La Union
May pumapayat na naman ako.,XII,South Cotabato
Di ko na kaya tong masakit sa dibdib kapag umuubo.,II,Nueva Vizcaya
Ang hirap ng may hindi magana sa pagkain.,IVA,Cavite
Bakit lagi na lang ako may masakit sa dibdib kapag umuubo?,I,Pangasinan
May matagal ng may ubo na naman ako.,III,Bulacan
Sino may alam na gamot para sa namamayat?,CAR,Benguet
I'm struggling with this weight loss.,BARMM,Maguindanao del Sur
Anyone know a good remedy for shortness of breath?,V,Masbate
Why do I always have cough for more than three weeks?,V,Masbate
Anyone know a good remedy for tuberculosis?,V,Catanduanes
Anyone know a good remedy for cachexia?,III,Aurora
This shortness of breath is so annoying!,XII,Cotabato
Why do I always have tuberculosis?,IX,Zamboanga del Norte
I'm struggling with this difficulty of breathing.,XIII,Surigao del Sur
This fatigue is so annoying!,VI,Capiz
Can't get rid of this cough.,II,Cagayan
Got any tips for dealing with night sweat?,IVB,Occidental Mindoro
I'm struggling with this loss of appetite.,X,Misamis Oriental
I bought new clothes for the festival.,X,Bukidnon
Naa moy nahibaw-an nga maayo para sa nag sakit ang dughan ug mo hubak?,IVB,Oriental Mindoro
Nag-antos gyud ko sa halos dili ka ginhawa.,III,Zambales
Kinsay naay tambal para nagkahuyang?,I,La Union
Naa moy nahibaw-an nga maayo para sa plima may dugo?,IVA,Rizal
"naay dugo sa kughal or plima napud ko, makalagot!",I,La Union
Grabe akong nagluya ron.,V,Catanduanes
Naa moy nahibaw-an nga maayo para sa hubak?,VIII,Biliran
Lisod kaayo ang naay dugo sa kughal or plima.,II,Batanes
"hubak napud ko, makalagot!",VII,Negros Oriental
Grabe akong hilanat ron.,VI,Negros Occidental
"danggas napud ko, makalagot!",VI,Guimaras
Kinsay naay tambal para walay gana mo kaon?,VIII,Biliran
"Pirme ko naay sakit ang dughan, unsa kahay maayo ani?",XII,Sarangani
Nag-antos gyud ko sa gi hilantan sa kulop.,XIII,Surigao del Sur
Grabe akong kapoyun ron.,XIII,Agusan del Norte
"Pirme ko naay walay gana mo kaon, unsa kahay maayo ani?",VII,Siquijor
Ang hirap ng may pamumutla.,VII,Siquijor
May alam ba kayong mabisang gamot sa nanghihina?,XIII,Surigao del Norte
May pagbaba ng timbang na naman ako.,CAR,Mountain Province
Di ko na kaya tong lagnat sa hapon o sa gabi.,XII,Sultan Kudarat
Ang hirap ng may matagal ng may ubo.,CAR,Benguet
May alam ba kayong mabisang gamot sa may dugo sa plema?,III,Tarlac
May sinat na naman ako.,V,Catanduanes
May pagkahapo na naman ako.,IVA,Batangas
May alam ba kayong mabisang gamot sa nahihirapan huminga?,II,Isabela
Ang hirap ng may umuubo ng may dugo.,X,Misamis Occidental
May masakit ang dibdib na naman ako.,VIII,Samar
May lagnat sa hapon o sa gabi na naman ako.,XI,Davao Oriental
May alam ba kayong mabisang gamot sa masakit sa dibdib kapag umuubo?,XI,Davao de Oro
Bakit lagi na lang ako may sinat?,BARMM,Tawi-tawi
Bakit lagi na lang ako may umuubo ng may dugo?,XIII,Surigao del Norte
Bakit lagi na lang ako may matagal ng may ubo?,I,Ilocos Sur
Bakit lagi na lang ako may pagkahapo?,IVA,Laguna
May alam ba kayong mabisang gamot sa mababa ang dugo?,V,Camarines Norte
This dyspnea is so annoying!,X,Bukidnon
Anyone know a good remedy for anorexia?,V,Sorsogon
Can't get rid of this cough for more than three weeks.,IVA,Quezon
Suffering from anorexia.,VI,Antique
Why do I always have low iron in the blood?,III,Bataan
This fever is so annoying!,XII,Sultan Kudarat
This anemia is so annoying!,IX,Zamboanga del Norte
Anyone know a good remedy for cough with blood?,II,Isabela
Why do I always have tb?,CAR,Apayao
Can't get rid of this tiredness.,VII,Bohol
This afternoon fever is so annoying!,IX,Zamboanga del Sur
Why do I always have cachexia?,I,Pangasinan
Anyone know a good remedy for weakness?,VI,Antique
Grabe akong gi hilantan sa kulop ron.,IVB,Marinduque
Kinsay naay tambal para gikapoy?,V,Albay
Naa moy nahibaw-an nga maayo para sa ning mubo ang timbang?,VI,Guimaras
Naa moy nahibaw-an nga maayo para sa pagkaniwang?,XI,Davao Oriental
"nagsuka na naay dugo napud ko, makalagot!",III,Pampanga
Grabe akong kapin sa tulo ka semana nga ubo ron.,CAR,Apayao
Lisod kaayo ang hubak.,V,Camarines Sur
Nag-antos gyud ko sa giduas.,I,Ilocos Norte
Lisod kaayo ang halos dili ka ginhawa.,X,Lanao del Norte
Sino may alam na gamot para sa pagbaba ng timbang?,I,Ilocos Sur
May ubo na naman ako.,VI,Guimaras
May alam ba kayong mabisang gamot sa pagbaba ng timbang?,VII,Cebu
May hinahabol ang paghinga na naman ako.,XIII,Agusan del Norte
Ang hirap ng may nanghihina.,VIII,Southern Leyte
May pamumutla na naman ako.,XI,Davao Oriental
May alam ba kayong mabisang gamot sa lagnat sa hapon o sa gabi?,XII,Sarangani
Di ko na kaya tong pumapayat.,I,Pangasinan
Sino may alam na gamot para sa nahihirapan huminga?,XII,Sultan Kudarat
Di ko na kaya tong hindi nawawala ang ubo.,XI,Davao Occidental
Sino may alam na gamot para sa mababa ang dugo?,VIII,Southern Leyte
May panghihina na naman ako.,CAR,Ifugao
"mababa ang dugo na naman, nakakainis!",III,Pampanga
Got any tips for dealing with tiredness?,III,Aurora
Suffering from cough.,VI,Capiz
I'm struggling with this cough.,XIII,Agusan del Norte
Can't get rid of this anorexia.,II,Nueva Vizcaya
Got any tips for dealing with low iron in the blood?,XIII,Surigao del Sur
Why do I always have fever?,V,Sorsogon
This hemoptysis is so annoying!,II,Nueva Vizcaya
Kinsay naay tambal para ning mubo ang timbang?,CAR,Mountain Province
Kinsay naay tambal para hamubo ug dugo?,V,Camarines Sur
Nag-antos gyud ko sa ning mubo ang timbang.,BARMM,Lanao del Sur
"Pirme ko naay hubak, unsa kahay maayo ani?",V,Masbate
"kapoyun napud ko, makalagot!",BARMM,Sulu
"Pirme ko naay nagluya, unsa kahay maayo ani?",II,Cagayan
Nag-antos gyud ko sa kapoyun.,I,La Union
Naa moy nahibaw-an nga maayo para sa pagkaluya?,IX,Zamboanga del Norte
"pagod na pagod na naman, nakakainis!",CAR,Mountain Province
May alam ba kayong mabisang gamot sa mahigit tatlong linggong ubo?,CAR,Ifugao
May nagpapawis sa gabi na naman ako.,V,Sorsogon
Di ko na kaya tong pagkahapo.,CAR,Ifugao
Ang hirap ng may hindi nawawala ang ubo.,V,Sorsogon
"nagpapawis sa gabi na naman, nakakainis!",II,Nueva Vizcaya
Ang hirap ng may ubo.,V,Sorsogon
May mababa ang dugo na naman ako.,XIII,Agusan del Sur
I'm struggling with this dyspnea.,II,Isabela
Why do I always have hemoptysis?,BARMM,Lanao del Sur
Got any tips for dealing with cough for more than three weeks?,XII,Sarangani
Suffering from cough with blood.,XII,Sarangani
Why do I always have cough?,VI,Negros Occidental
I'm struggling with this blood in phlegm.,NCR,Metro Manila
Why do I always have chest pain when coughing?,VII,Bohol
Grabe akong naay dugo sa kughal or plima ron.,IVB,Occidental Mindoro
